common names,formulae
elasticsearch,elastic/tap/elasticsearch-full
exercism,exercism
chntpw,minacle/chntpw/chntpw
s2n,s2n
flyctl,superfly/tap/flyctl
cffi,cffi
ruby,ruby@2.6
lz4,lz4
haskell-stack,haskell-stack
gopls,gopls
gnuradio,gnuradio
platformio,platformio
consul,consul
php,shivammathur/php/php@7.0
netcat,netcat
hyperfine,hyperfine
protobuf-c,protobuf-c
tomcat,tomcat@9
glew,glew
gambit-scheme,gambit-scheme
lastpass-cli,lastpass-cli
postgresql,postgresql@10
minio,minio
goreman,goreman
git-flow,git-flow
iproute2mac,iproute2mac
openssl,rbenv/tap/openssl@1.0
kube-ps1,kube-ps1
ghq,ghq
httrack,httrack
libpsl,libpsl
sonarqube,sonarqube
eza,eza
opa,opa
rav1e,rav1e
mono-libgdiplus,mono-libgdiplus
inetutils,inetutils
netlify-cli,netlify-cli
ta-lib,ta-lib
w3m,w3m
awscli,awscli@1
sshpass,esolitos/ipa/sshpass
boost-python3,boost-python3
pwgen,pwgen
crystal,crystal
sfcgal,sfcgal
vite,vite
percona-toolkit,percona-toolkit
hydra,hydra
mycli,mycli
velero,velero
pixman,pixman
topgrade,topgrade
sdl2_ttf,sdl2_ttf
scons,scons
openfortivpn,openfortivpn
ncurses,ncurses
speedtest,teamookla/speedtest/speedtest
nnn,nnn
libgpg-error,libgpg-error
linkerd,linkerd
vulkan-headers,vulkan-headers
mpg123,mpg123
phpmyadmin,phpmyadmin
copilot-cli,aws/tap/copilot-cli
peco,peco
emacs-plus,d12frosted/emacs-plus/emacs-plus@28
pstree,pstree
virt-manager,virt-manager
tree-sitter,tree-sitter
sdl12-compat,sdl12-compat
kops,kops
s3cmd,s3cmd
oath-toolkit,oath-toolkit
re2,re2
step,step
goenv,goenv
mupdf,mupdf
binwalk,binwalk
pgcli,pgcli
ios-webkit-debug-proxy,ios-webkit-debug-proxy
figlet,figlet
selenium-server,selenium-server
nuclei,nuclei
esptool,esptool
argo,argo
libpcap,libpcap
ranger,ranger
actionlint,actionlint
opus,opus
lychee,lychee
phpunit,phpunit
fonttools,fonttools
git-secrets,git-secrets
diff-so-fancy,diff-so-fancy
postgresql,postgresql
yara,yara
nlohmann-json,nlohmann-json
spring-boot,spring-io/tap/spring-boot
cilium-cli,cilium-cli
hyperkit,hyperkit
gum,gum
doppler,dopplerhq/cli/doppler
spaceship,spaceship
gradle,gradle@7
cowsay,cowsay
apr,apr
pybind11,pybind11
gifsicle,gifsicle
luv,luv
atuin,atuin
ctags,ctags
markdownlint-cli,markdownlint-cli
yt-dlp,yt-dlp/taps/yt-dlp
sshuttle,sshuttle
libmpc,libmpc
steampipe,turbot/tap/steampipe
granted,common-fate/granted/granted
ruby,ruby@3.0
squid,squid
bdw-gc,bdw-gc
python-gdbm,python-gdbm@3.11
telepresence,datawire/blackbird/telepresence
sketchybar,felixkratz/formulae/sketchybar
tesseract-lang,tesseract-lang
quarkus,quarkusio/tap/quarkus
dart-sdk,dart-sdk
swift-format,swift-format
hadoop,hadoop
mbedtls,mbedtls
cmctl,cmctl
zeromq,zeromq
rpm,rpm
pytorch,pytorch
testdisk,testdisk
mongocli,mongocli
libsodium,libsodium
sslscan,sslscan
spice-gtk,spice-gtk
cdktf,cdktf
expect,expect
jackett,jackett
gauche,gauche
libmatio,libmatio
d2,d2
fluid-synth,fluid-synth
libgccjit,libgccjit
jpegoptim,jpegoptim
tfcmt,suzuki-shunsuke/tfcmt/tfcmt
minicom,minicom
libslirp,libslirp
graphite,withgraphite/tap/graphite
wp-cli,wp-cli
go-md2man,go-md2man
irssi,irssi
tomcat,tomcat@8
sshpass,hudochenkov/sshpass/sshpass
pigz,pigz
latexindent,latexindent
hwloc,hwloc
go,go@1.18
node-sass,node-sass
dav1d,dav1d
repo,repo
mongodb-community-shell,mongodb/brew/mongodb-community-shell
neo4j,neo4j
kcat,kcat
gcc,gcc@12
fswatch,fswatch
ipfs,ipfs
syft,syft
xorgproto,xorgproto
buf,buf
gzip,gzip
jsonnet,jsonnet
aws-sdk-cpp,aws-sdk-cpp
git-extras,git-extras
ffmpeg,homebrew-ffmpeg/ffmpeg/ffmpeg
flow,flow
micro,micro
sl,sl
go-swagger,go-swagger/go-swagger/go-swagger
micromamba,micromamba
ntfs-3g-mac,gromgit/fuse/ntfs-3g-mac
ctlptl,tilt-dev/tap/ctlptl
highway,highway
pandoc-crossref,pandoc-crossref
lsusb,lsusb
etcd,etcd
imath,imath
sqlc,sqlc
glslang,glslang
handbrake,handbrake
pngquant,pngquant
molten-vk,molten-vk
mecab,mecab
z3,z3
gallery-dl,gallery-dl
dolt,dolt
influxdb,influxdb
tgenv,tgenv
llvm,llvm@14
typst,typst
nuget,nuget
twilio,twilio/brew/twilio
wakeonlan,wakeonlan
doctest,doctest
go,go@1.20
vcpkg,vcpkg
babashka,borkdude/brew/babashka
astro,astro
terrascan,terrascan
switchaudio-osx,switchaudio-osx
root,root
wasmtime,wasmtime
augeas,augeas
gitmoji,gitmoji
maxima,maxima
libvpx,libvpx
awk,awk
terraformer,terraformer
websocat,websocat
conftest,conftest
open-ocd,open-ocd
mackup,mackup
delve,delve
node_exporter,node_exporter
flake8,flake8
git-svn,git-svn
dfu-util,dfu-util
googletest,googletest
avrdude,avrdude
overmind,overmind
aspell,aspell
cherrytree,cherrytree
needle,needle
terratag,env0/terratag/terratag
marp-cli,marp-cli
haproxy,haproxy
swift-protobuf,swift-protobuf
opensearch,opensearch
sdl2_mixer,sdl2_mixer
tepl,tepl
mutagen,mutagen-io/mutagen/mutagen
restic,restic
radare2,radare2
goreleaser,goreleaser/tap/goreleaser
unison,unison
onefetch,onefetch
colordiff,colordiff
zenity,zenity
libwebsockets,libwebsockets
esbuild,esbuild
uncrustify,uncrustify
lf,lf
temporal,temporal
mypy,mypy
mkdocs,mkdocs
cue,cue-lang/tap/cue
tilt,tilt-dev/tap/tilt
age,age
neomutt,neomutt
lacework,lacework/tap/lacework-cli
git-flow-avh,git-flow-avh
